|CO_MUNICIPIO|NU_ANO_CENSO|CO_ENTIDADE|MEDIA_QTD_ALUNOS_POR_ESCOLA|MEDIA_NU_COMP_PARA_ALUNOS|COMP_POR_ALUNO(%)|NUM_ESCOLAS_INTERNET_MUNIC|MEDIA_SALAS_EXISTENTES|MEDIA_PONTUACAO|IOEB
2098|2922508|2015.0|29169607.0|194.4186046511628|6.511627906976744|7.814967583248332|20.0|5.953488372093022|414.55813953488365|3.4
2099|2922607|2015.0|29288312.0|125.7|0.875|0.6368711923440709|7.0|2.175|210.4|3.3
2100|2922656|2015.0|29120772.0|320.8181818181818|0.0|0.0|9.0|7.8181818181818175|497.3636363636364|3.5
2101|2922706|2015.0|29270405.0|111.57575757575758|2.2424242424242418|1.2661226399843744|9.0|3.303030303030303|219.3939393939394|3.2
2102|2922730|2015.0|29140633.0|143.53333333333333|5.666666666666668|6.7912762278021015|9.0|4.066666666666666|304.46666666666664|3.8
2103|2922755|2015.0|29311519.0|111.36363636363636|3.6818181818181817|7.524566757192696|5.0|2.5|215.04545454545453|3.8
2104|2922805|2015.0|29234450.0|241.9|2.9|0.5531093508148958|4.0|5.6|385.6|3.6
2105|2922854|2015.0|29217466.0|159.0625|2.75|1.5387656236200025|5.0|4.6875|348.0|3.3
2106|2922904|2015.0|29130590.0|244.51282051282055|5.102564102564102|1.414569319125771|17.0|4.641025641025641|367.2820512820512|3.8
2107|2923001|2015.0|29325455.0|345.0256410256411|8.846153846153848|2.4426275156805266|27.0|7.205128205128204|547.8717948717949|3.9
2108|2923035|2015.0|29209749.0|81.9|0.9666666666666668|0.163345565822346|8.0|2.966666666666667|192.13333333333333|4.0
2109|2923050|2015.0|29131197.0|140.13636363636363|0.6818181818181818|0.16247170884247136|6.0|3.5454545454545454|215.22727272727272|3.4
2110|2923100|2015.0|29131456.0|155.76744186046508|0.8372093023255814|0.15513285870585233|18.0|3.72093023255814|271.51162790697674|3.1
2111|2923209|2015.0|29210143.0|129.46666666666667|1.8444444444444448|0.714842089381471|10.0|3.311111111111111|208.7333333333333|3.4
2112|2923308|2015.0|29104351.0|164.84615384615384|5.307692307692308|4.184159754152725|7.0|4.9230769230769225|348.07692307692315|3.5
2113|2923357|2015.0|29075793.0|202.24|4.96|2.563344377659273|16.0|5.28|339.88|3.2
2114|2923407|2015.0|29250781.0|148.31707317073167|4.585365853658536|3.509784799732858|14.0|3.5121951219512195|257.0|3.8
