|CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE|IOEB
267|1507102|2015.0|46.0|2.9
268|1507151|2015.0|116.0|2.8
269|1507201|2015.0|83.0|2.6
270|1507300|2015.0|105.0|2.9
271|1507409|2015.0|153.0|3.3
272|1507458|2015.0|136.0|3.1
273|1507466|2015.0|5.0|3.9
274|1507474|2015.0|94.0|3.6
275|1507508|2015.0|86.0|2.7
276|1507607|2015.0|262.0|3.6
277|1507706|2015.0|97.0|3.2
278|1507755|2015.0|6.0|3.4
279|1507805|2015.0|116.0|3.4
280|1507904|2015.0|117.0|3.1
281|1507953|2015.0|356.0|3.6
282|1507961|2015.0|26.0|3.3
283|1507979|2015.0|202.0|3.4
284|1508001|2015.0|529.0|3.1
285|1508035|2015.0|109.0|3.4
286|1508050|2015.0|39.0|3.3
287|1508084|2015.0|81.0|3.3
288|1508100|2015.0|1024.0|3.7
289|1508126|2015.0|229.0|4.3
290|1508159|2015.0|124.0|3.4
291|1508209|2015.0|266.0|3.2
292|1508308|2015.0|154.0|2.9
293|1508357|2015.0|140.0|3.9
294|1508407|2015.0|285.0|3.8
295|1600055|2015.0|74.0|3.8
296|1600105|2015.0|75.0|3.0
297|1600154|2015.0|98.0|3.3
298|1600204|2015.0|77.0|3.3
299|1600212|2015.0|18.0|3.4
300|1600238|2015.0|39.0|3.7
301|1600253|2015.0|49.0|3.4
302|1600279|2015.0|471.0|3.3
303|1600303|2015.0|3140.0|3.6
304|1600402|2015.0|127.0|3.3
305|1600501|2015.0|111.0|2.9
306|1600535|2015.0|129.0|3.3
307|1600550|2015.0|15.0|3.5
308|1600600|2015.0|961.0|3.8
309|1600709|2015.0|62.0|3.0
310|1600808|2015.0|97.0|3.2
311|1700251|2015.0|14.0|4.2
312|1700301|2015.0|44.0|3.9
313|1700350|2015.0|36.0|4.6
314|1700400|2015.0|104.0|3.8
315|1700707|2015.0|63.0|4.7
316|1701002|2015.0|54.0|4.2
317|1701051|2015.0|29.0|3.7
318|1701101|2015.0|29.0|4.5
