COD_MUNIC_IBGE;ANO_CENSO;SIGLA;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
2516508.0;2013;PB;143.7
2516607.0;2013;PB;198.8108108108108
2516706.0;2013;PB;212.15384615384616
2516755.0;2013;PB;229.45454545454547
2516805.0;2013;PB;154.94594594594594
2516904.0;2013;PB;211.97674418604652
2517001.0;2013;PB;154.4418604651163
2517100.0;2013;PB;249.27272727272728
2517209.0;2013;PB;203.6315789473684
2517407.0;2013;PB;712.5
