CO_MUNICIPIO|NU_ANO_CENSO|CO_ENTIDADE|MEDIA_QTD_ALUNOS_POR_ESCOLA|MEDIA_NU_COMP_PARA_ALUNOS|COMP_POR_ALUNO(%)|NUM_ESCOLAS_INTERNET_MUNIC|MEDIA_SALAS_EXISTENTES|MEDIA_PONTUACAO
3162500|2015.0|31134546.0|286.2142857142857|10.385714285714286|3.618537098493736|59.0|9.257142857142858|687.0428571428571
3162559|2015.0|31075272.0|261.6|4.5|4.591385637907571|9.0|7.9|469.8
3162575|2015.0|31044334.0|216.8|5.6|3.4523956931081314|5.0|7.6|553.4
3162609|2015.0|31020826.0|259.125|7.125|1.6840392066640708|5.0|6.125|527.125
3162658|2015.0|31079910.0|155.125|6.75|5.615373278646201|7.0|5.0|443.5
3162708|2015.0|31082716.0|166.82758620689654|4.310344827586207|3.154516214182114|14.0|4.620689655172414|371.62068965517244
3162807|2015.0|31041548.0|283.8421052631579|7.7894736842105265|2.7153751256898913|13.0|7.947368421052632|677.7368421052631
3162906|2015.0|31070084.0|202.57142857142858|10.678571428571429|6.66034162309794|20.0|8.25|559.1428571428571
3162922|2015.0|31009270.0|349.4|5.4|2.188304768783743|19.0|10.3|723.3
3162948|2015.0|31114901.0|253.0|14.714285714285714|9.08855275653471|7.0|10.0|752.7142857142857
3162955|2015.0|31011096.0|649.6363636363636|4.909090909090909|0.5015602793960381|9.0|11.272727272727273|914.8181818181819
3163003|2015.0|31045357.0|293.0|12.4|5.53228871070361|3.0|9.0|654.8
3163102|2015.0|31035653.0|112.25|8.0|11.365281902948027|8.0|4.25|420.625
3163201|2015.0|31056651.0|219.75|12.5|3.0847966945253074|4.0|6.25|429.0
3163300|2015.0|31147885.0|232.6|8.4|14.406129747626187|3.0|7.2|420.6
3163409|2015.0|31104108.0|321.25|7.5|2.269739385971696|4.0|10.25|679.0
3163508|2015.0|31045373.0|186.77777777777777|7.777777777777778|4.685879359209049|5.0|6.111111111111111|421.1111111111111
3163607|2015.0|31075841.0|98.0|2.5714285714285716|0.716275368085953|2.0|4.142857142857143|285.57142857142856
3163706|2015.0|31174122.0|315.8|9.4|6.75046462008188|35.0|10.714285714285714|726.0285714285715
3163805|2015.0|31129551.0|246.33333333333334|7.333333333333333|2.458332339862807|5.0|7.333333333333333|605.0
3163904|2015.0|31137812.0|189.8|2.2|2.37496411139822|5.0|7.4|585.8
3164001|2015.0|31129593.0|228.25|10.25|4.158456415765252|6.0|7.25|550.5
3164100|2015.0|31045497.0|194.85714285714286|7.857142857142857|6.162861892804908|5.0|6.285714285714286|437.57142857142856
3164209|2015.0|31082767.0|220.27272727272728|5.363636363636363|3.721941318847671|6.0|6.2727272727272725|403.8181818181818
3164308|2015.0|31115789.0|174.625|11.375|8.904781680787991|8.0|8.625|610.625
3164407|2015.0|31056677.0|301.8|12.4|5.6154888903732125|5.0|10.8|549.4
3164431|2015.0|31098531.0|252.8|6.8|2.7309751097010007|4.0|6.0|464.6
3164472|2015.0|31020664.0|282.8333333333333|6.333333333333333|7.86641729586614|4.0|8.833333333333334|603.5
3164506|2015.0|31045560.0|105.56|4.08|9.811763865900579|12.0|4.4|275.28
3164605|2015.0|31035661.0|411.25|3.25|1.0302740861160486|4.0|10.75|655.0
3164704|2015.0|31137871.0|342.1458333333333|10.125|3.853822720026432|45.0|9.208333333333334|730.7083333333334
