CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE
1702901|2015.0|160.0
1703008|2015.0|48.0
1703057|2015.0|17.0
1703073|2015.0|35.0
1703107|2015.0|44.0
1703206|2015.0|21.0
1703305|2015.0|23.0
1703602|2015.0|14.0
1703701|2015.0|53.0
1703800|2015.0|68.0
1703826|2015.0|12.0
1703842|2015.0|32.0
1703867|2015.0|15.0
1703883|2015.0|19.0
1703891|2015.0|1.0
1703909|2015.0|51.0
1704105|2015.0|3.0
1704600|2015.0|4.0
1705102|2015.0|20.0
1705508|2015.0|304.0
1705557|2015.0|45.0
1705607|2015.0|40.0
1706001|2015.0|38.0
1706100|2015.0|33.0
1706258|2015.0|48.0
1706506|2015.0|1.0
1707009|2015.0|339.0
1707108|2015.0|40.0
1707207|2015.0|39.0
1707306|2015.0|28.0
1707405|2015.0|47.0
1707553|2015.0|58.0
1707652|2015.0|23.0
1707702|2015.0|49.0
1708205|2015.0|244.0
1708254|2015.0|22.0
1708304|2015.0|24.0
1709005|2015.0|51.0
1709302|2015.0|211.0
1709500|2015.0|782.0
1709807|2015.0|20.0
1710508|2015.0|56.0
1710706|2015.0|8.0
1710904|2015.0|20.0
1711100|2015.0|32.0
1711506|2015.0|40.0
1711803|2015.0|7.0
1711902|2015.0|74.0
1711951|2015.0|17.0
1712009|2015.0|16.0
1712157|2015.0|10.0
1712405|2015.0|36.0
1712454|2015.0|21.0
1712504|2015.0|31.0
1712702|2015.0|6.0
1712801|2015.0|33.0
1713205|2015.0|148.0
1713304|2015.0|79.0
1713601|2015.0|96.0
1713700|2015.0|18.0
1713809|2015.0|35.0
1713957|2015.0|12.0
1714203|2015.0|105.0
1714302|2015.0|12.0
1714880|2015.0|103.0
1715002|2015.0|36.0
1715101|2015.0|45.0
1715150|2015.0|23.0
1715259|2015.0|48.0
1715507|2015.0|14.0
1715705|2015.0|0.0
1715754|2015.0|57.0
1716109|2015.0|401.0
1716208|2015.0|91.0
1716307|2015.0|8.0
1716505|2015.0|138.0
1716604|2015.0|31.0
1716653|2015.0|42.0
1716703|2015.0|106.0
1717008|2015.0|43.0
1717206|2015.0|15.0
1717503|2015.0|67.0
1717800|2015.0|46.0
1717909|2015.0|58.0
1718006|2015.0|52.0
1718204|2015.0|615.0
1718303|2015.0|48.0
1718402|2015.0|55.0
1718451|2015.0|30.0
1718501|2015.0|10.0
1718550|2015.0|29.0
1718659|2015.0|18.0
1718709|2015.0|10.0
1718758|2015.0|56.0
1718808|2015.0|13.0
1718840|2015.0|14.0
1718865|2015.0|59.0
1718881|2015.0|15.0
1718899|2015.0|42.0
1718907|2015.0|53.0
1719004|2015.0|21.0
1720002|2015.0|7.0
1720101|2015.0|8.0
1720150|2015.0|3.0
1720200|2015.0|68.0
1720259|2015.0|24.0
1720309|2015.0|27.0
1720499|2015.0|41.0
1720655|2015.0|21.0
1720804|2015.0|41.0
1720853|2015.0|30.0
1720903|2015.0|138.0
1720937|2015.0|11.0
1720978|2015.0|29.0
1721000|2015.0|1974.0
1721109|2015.0|98.0
1721208|2015.0|213.0
1721257|2015.0|21.0
1721307|2015.0|21.0
1722081|2015.0|103.0
1722107|2015.0|51.0
2100055|2015.0|454.0
2100105|2015.0|54.0
2100154|2015.0|31.0
2100204|2015.0|72.0
2100303|2015.0|154.0
2100402|2015.0|0.0
2100436|2015.0|91.0
2100477|2015.0|230.0
2100501|2015.0|30.0
2100550|2015.0|31.0
2100600|2015.0|52.0
2100709|2015.0|61.0
2100808|2015.0|42.0
2100832|2015.0|74.0
2100873|2015.0|16.0
2100907|2015.0|510.0
