CO_MUNICIPIO|NU_ANO_CENSO|CO_ENTIDADE|MEDIA_QTD_ALUNOS_POR_ESCOLA|MEDIA_NU_COMP_PARA_ALUNOS|COMP_POR_ALUNO(%)|NUM_ESCOLAS_INTERNET_MUNIC|MEDIA_SALAS_EXISTENTES|MEDIA_PONTUACAO
1100189|2017.0|11031433.0|359.75|9.071428571428571|5.062023028059639|28.0|9.178571428571429|678.8571428571429
1100205|2017.0|11000023.0|504.63440860215053|10.175627240143369|3.458597049348557|213.0|12.290322580645162|744.6810035842294
1100254|2017.0|11000422.0|293.2631578947368|7.157894736842105|2.106548744613387|17.0|8.421052631578947|746.8947368421053
1100262|2017.0|11009306.0|310.3333333333333|1.6666666666666667|0.4187604690117253|3.0|10.333333333333334|762.0
1100288|2017.0|11028440.0|490.85714285714283|13.964285714285714|5.040087876155197|26.0|15.821428571428571|998.3214285714286
1100296|2017.0|11029510.0|236.28571428571428|4.571428571428571|3.279823004744165|7.0|9.0|635.1428571428571
1100304|2017.0|11033150.0|470.96363636363634|11.036363636363637|2.671519991816969|51.0|9.61111111111111|844.0555555555555
1100320|2017.0|11022256.0|321.5|4.944444444444445|2.9122084184998607|17.0|8.38888888888889|572.8333333333334
1100338|2017.0|11003839.0|113.11764705882354|1.4852941176470589|0.5853268691243574|15.0|3.25|205.22058823529412
1100346|2017.0|11000589.0|229.375|4.6875|1.2466606628906838|13.0|7.875|563.6875
1100379|2017.0|11024437.0|236.58333333333334|1.9166666666666667|0.33845466577281447|4.0|7.916666666666667|465.25
1100403|2017.0|11006803.0|286.7142857142857|9.428571428571429|4.154279985150161|5.0|5.928571428571429|462.2857142857143
1100452|2017.0|11004428.0|280.6333333333333|4.166666666666667|0.9538775134922055|15.0|7.066666666666666|460.3333333333333
1100502|2017.0|11030003.0|228.9|7.1|2.479417715916446|10.0|7.1|500.0
1100601|2017.0|11010290.0|258.0|6.4|3.6965323377761337|4.0|9.6|655.8
1100700|2017.0|11004347.0|393.0|5.25|0.752990556045517|7.0|10.5|623.875
1100809|2017.0|11004860.0|382.7894736842105|1.105263157894737|0.17004226185779614|11.0|5.947368421052632|427.57894736842104
1100908|2017.0|11030666.0|271.6666666666667|4.0|1.6944069575648522|3.0|9.0|595.6666666666666
1100924|2017.0|11032065.0|212.46153846153845|4.846153846153846|2.571487351409263|6.0|7.0|439.3076923076923
1100940|2017.0|11009136.0|551.625|4.125|1.0275849538837931|6.0|12.25|792.0
1101005|2017.0|11019034.0|148.66666666666666|1.6666666666666667|7.599003928738775|7.0|6.133333333333334|344.73333333333335
1101104|2017.0|11005092.0|320.77777777777777|0.1111111111111111|0.01766472354707649|6.0|5.888888888888889|433.44444444444446
1101203|2017.0|11031000.0|295.0|4.25|1.1174338022058419|7.0|11.5|545.875
1101302|2017.0|11019689.0|248.16666666666666|8.833333333333334|3.822203710652498|9.0|6.583333333333333|521.0833333333334
1101401|2017.0|11010665.0|440.1111111111111|4.777777777777778|1.7199460991297542|7.0|9.333333333333334|786.4444444444445
1101435|2017.0|11016469.0|390.4|6.4|1.3741467533392335|4.0|9.8|663.8
1101450|2017.0|11031565.0|131.71428571428572|6.142857142857143|11.733902901848577|2.0|5.714285714285714|324.14285714285717
1101468|2017.0|11035080.0|210.0|2.6666666666666665|0.903954802259887|3.0|6.666666666666667|517.6666666666666
1101476|2017.0|11031913.0|178.6|9.2|4.517750855511766|5.0|7.0|585.0
1101484|2017.0|11031964.0|274.0|10.8|4.178704883786982|5.0|9.8|782.2
1101492|2017.0|11005475.0|338.3333333333333|5.6|1.50882106821302|11.0|9.466666666666667|508.26666666666665
1101500|2017.0|11022884.0|348.4|4.9|10.184933076202425|8.0|8.2|589.4
1101559|2017.0|11016850.0|308.2|2.0|0.5331442117896783|5.0|8.6|604.0
1101609|2017.0|11020296.0|270.8888888888889|2.3333333333333335|0.7973501868786288|9.0|13.555555555555555|744.0
1101708|2017.0|11020482.0|270.45454545454544|2.3636363636363638|1.0326121529229189|11.0|7.545454545454546|514.1818181818181
1101757|2017.0|11008105.0|213.0|2.0|1.9348697045707914|6.0|7.5|432.2
1101807|2017.0|11021217.0|257.14285714285717|7.571428571428571|1.8315631382448043|4.0|8.571428571428571|505.57142857142856
1200013|2017.0|12008966.0|356.64285714285717|5.142857142857143|2.097632258353843|8.0|7.0|428.07142857142856
1200054|2017.0|12007285.0|58.03030303030303|0.45454545454545453|0.045074399913109596|4.0|2.090909090909091|96.51515151515152
1200104|2017.0|12016209.0|137.135593220339|1.7796610169491525|1.072804021509812|12.0|3.389830508474576|211.22033898305085
